Index	Most often style	Spectral Clustering	Aglomerative Clustering	K-means
446	23	0	1	4
447	44	3	3	5
448	56	5	5	1
449	53	3	4	2
450	50	6	2	6
451	72	3	4	2
452	81	0	0	0
453	18	3	3	5
454	76	0	0	0
455	30	3	1	4
456	53	6	2	6
457	71	0	1	0
458	79	4	0	1
459	65	0	1	2
460	32	3	3	5
461	50	6	2	6
462	42	3	3	5
463	56	3	3	5
464	53	3	3	5
465	52	6	2	6
466	76	4	0	1
467	46	3	3	5
468	60	4	0	1
469	34	3	4	2
470	30	3	4	2
471	47	6	2	6
472	81	0	0	0
473	51	3	3	5
474	56	6	2	1
475	28	0	6	3
476	56	2	6	3
477	56	3	3	5
478	50	6	2	6
479	81	0	0	0
480	62	3	3	5
481	52	0	1	0
482	56	3	1	4
483	47	6	2	6
484	49	6	2	6
485	57	3	4	2
486	56	3	1	4
487	81	0	6	3
488	48	3	3	5
489	52	3	1	4
490	56	4	0	1
491	54	3	1	4
492	56	5	5	1
493	52	5	5	1
494	44	3	3	5
495	53	6	2	6
496	53	5	5	1
497	47	3	3	5
498	50	3	1	4
499	81	0	1	4
500	53	6	2	6
501	56	6	2	6
502	53	0	0	0
503	44	3	3	5
504	56	2	6	3
505	53	6	2	6
506	47	3	3	5
507	42	3	1	4
508	50	5	5	1
509	57	3	4	2
510	56	3	1	5
511	56	6	2	6
512	38	3	3	5
513	67	0	0	0
514	32	3	4	2
515	81	0	0	0
516	50	6	2	6
517	47	5	5	1
518	53	5	5	1
519	39	3	3	5
520	79	0	1	2
521	53	0	0	0
522	81	0	0	0
523	67	3	4	2
524	47	3	3	5
525	50	3	1	4
526	53	5	5	1
527	53	6	2	1
528	52	6	2	6
529	81	0	1	0
530	45	3	3	5
531	47	6	2	6
532	72	3	4	2
533	51	6	2	6
534	50	6	2	6
535	56	6	2	6
536	71	3	4	2
537	81	0	0	0
538	55	3	1	4
539	67	3	3	5
540	62	3	3	5
541	16	3	3	5
542	56	3	3	5
543	52	6	2	6
544	51	3	3	5
545	81	0	6	3
546	58	0	0	0
547	81	0	0	0
548	81	4	0	0
549	79	0	1	0
550	62	3	4	2
551	51	0	1	4
552	50	6	2	6
553	81	0	0	0
554	42	3	3	5
555	53	5	0	1
556	40	0	0	0
557	56	4	0	1
558	47	6	2	6
559	50	0	1	2
560	78	0	1	4
561	50	6	2	6
562	47	3	1	4
563	51	6	2	6
564	50	6	2	1
565	72	0	6	3
566	48	5	5	1
567	54	0	1	4
568	72	3	3	5
569	64	0	0	0
570	39	3	1	4
571	47	3	3	5
572	46	5	5	1
573	53	6	2	6
574	46	3	3	5
575	47	3	4	2
576	68	3	3	5
577	18	3	3	5
578	81	0	0	0
579	52	6	2	6
580	47	6	2	6
581	66	3	4	2
582	72	3	4	2
583	65	0	0	0
584	53	3	3	5
585	80	0	6	3
586	53	6	2	6
587	81	0	6	3
588	81	1	6	3
589	37	3	3	2
590	72	0	0	0
591	65	0	0	0
592	47	6	2	6
593	56	0	0	0
594	39	3	4	2
595	81	0	0	0
596	44	3	3	5
597	51	6	2	6
598	63	0	1	0
599	81	4	0	0
600	81	0	0	0
601	55	4	2	1
602	44	0	0	0
603	43	3	3	5
604	53	6	2	6
605	81	4	0	0
606	49	3	3	5
607	50	3	4	2
608	47	6	2	6
609	47	6	2	6
610	50	6	2	6
611	56	3	1	4
612	53	0	1	2
613	75	0	0	0
614	16	0	6	3
615	81	0	0	0
616	51	3	3	5
617	38	3	3	5
618	67	0	1	2
619	22	3	1	5
620	47	3	4	2
621	61	3	3	5
622	53	5	5	1
623	81	0	6	3
624	56	3	3	2
625	81	0	0	0
626	56	3	4	2
627	44	3	4	4
628	26	3	4	2
629	53	6	2	6
630	62	3	4	2
631	57	5	5	1
632	45	3	3	5
633	73	3	4	2
634	66	3	4	2
635	53	5	5	1
636	47	3	4	2
637	72	5	5	1
638	57	0	0	0
639	53	3	3	5
640	53	0	1	4
641	56	6	2	1
642	72	5	5	1
643	46	6	2	6
644	32	3	3	5
645	62	3	3	2
646	54	6	2	6
647	47	5	5	1
648	61	0	1	0
649	50	3	4	2
650	46	3	1	4
651	48	6	2	6
652	47	3	4	2
653	49	5	5	1
654	56	6	2	6
655	53	5	5	1
656	56	6	2	6
657	35	3	3	5
658	79	0	1	2
659	69	0	0	0
660	41	3	3	5
661	53	3	3	5
662	49	5	5	1
663	56	4	0	1
664	72	5	5	1
665	56	3	1	4
666	49	0	0	0
667	70	0	0	0
668	47	6	2	6
669	47	3	3	5
670	47	3	3	5
671	49	0	1	4
672	56	0	1	4
673	71	4	0	0
674	62	3	4	2
675	50	6	2	6
676	28	0	1	4
677	53	6	2	6
678	51	6	2	6
679	21	0	1	2
680	38	3	4	2
681	81	0	0	0
682	51	3	4	4
683	32	3	3	5
684	57	5	5	1
685	57	4	0	1
686	56	6	2	1
687	81	0	1	0
688	47	6	2	6
689	52	6	2	6
690	51	6	2	6
691	38	3	3	5
692	43	0	1	0
693	38	3	3	5
694	51	6	2	6
695	81	0	6	3
696	42	5	5	1
697	66	0	1	4
698	81	0	0	0
699	81	0	0	0
700	16	3	1	4
701	38	3	3	5
702	51	3	3	5
703	43	3	3	5
704	81	0	0	0
705	81	0	0	0
706	38	3	4	2
707	51	3	1	4
708	78	3	1	4
709	32	3	3	5
710	58	0	0	0
711	81	0	0	0
712	41	0	1	4
713	47	6	2	6
714	53	3	4	2
715	42	3	1	5
716	58	0	0	0
717	50	3	4	2
718	52	3	1	4
719	58	4	0	1
720	66	3	3	5
721	81	0	0	0
722	39	3	3	5
723	47	3	3	5
724	74	0	0	0
725	43	3	4	2
726	50	6	2	6
727	50	0	1	4
728	72	3	4	2
729	50	0	1	4
730	81	0	0	0
731	44	3	3	5
732	53	6	2	6
733	47	6	2	6
734	45	4	2	1
735	81	0	1	4
736	47	3	4	2
737	37	0	1	4
738	55	4	0	0
739	47	3	1	4
740	81	0	1	4
741	49	4	0	1
742	51	6	2	6
743	64	3	4	2
744	47	3	3	5
745	54	6	2	6
746	32	3	3	5
747	66	0	0	0
748	56	3	3	5
749	56	0	1	4
750	56	3	1	5
751	56	6	2	6
752	49	3	4	2
753	81	0	0	0
754	47	3	3	5
755	56	3	3	5
756	47	6	2	6
757	39	3	3	5
758	32	3	3	5
759	53	6	2	6
760	72	3	4	2
761	16	0	6	3
762	50	3	3	5
763	50	6	2	6
764	39	3	3	5
765	47	3	1	4
766	76	3	4	2
767	79	0	0	0
768	54	3	3	5
769	43	0	1	0
770	50	6	2	6
771	56	5	5	1
772	47	6	2	6
773	33	0	1	4
774	47	6	2	6
775	43	0	0	0
776	18	0	1	4
777	53	6	2	1
778	49	0	1	4
779	45	6	2	6
780	56	6	2	6
781	81	0	0	0
782	49	3	4	2
783	81	0	0	0
784	58	3	4	2
785	50	6	2	6
786	51	6	2	6
787	41	6	2	6
788	56	0	1	4
789	76	4	0	1
790	47	6	2	6
791	67	3	4	2
792	47	6	2	6
793	47	3	3	5
794	45	3	4	4
795	47	3	4	2
796	50	0	0	0
797	81	4	0	0
798	51	6	2	6
799	12	0	1	4
800	47	3	4	2
801	49	0	0	0
802	62	3	4	2
803	72	5	5	1
804	57	3	1	2
805	52	5	5	1
806	42	3	1	4
807	32	3	3	5
808	48	3	4	2
809	56	3	3	5
810	47	6	2	6
811	42	0	1	4
812	37	3	3	5
813	47	3	3	5
814	45	0	1	4
815	41	3	4	2
816	47	5	5	1
817	42	0	1	4
818	81	0	0	0
819	64	0	0	0
820	53	3	4	2
821	56	6	2	6
822	47	3	3	5
823	56	6	2	6
824	81	0	6	3
825	51	5	5	1
826	47	3	4	2
827	50	3	1	4
828	52	6	2	6
829	54	0	0	0
830	60	3	3	2
831	56	3	4	2
832	81	0	0	0
833	56	3	3	5
834	53	6	2	6
835	81	0	1	0
836	80	4	0	1
837	47	3	4	2
838	50	3	3	5
839	49	3	1	4
840	53	3	1	4
841	47	6	2	6
842	53	3	4	2
843	81	0	6	3
844	80	0	0	0
845	51	0	1	4
846	25	3	3	5
847	51	3	3	5
848	62	0	1	0
849	72	0	1	0
850	49	0	1	0
851	48	3	4	2
852	50	0	1	4
853	65	0	1	0
854	81	0	0	0
855	50	5	5	1
856	56	4	0	1
857	57	3	4	2
858	53	5	5	1
859	56	6	2	6
860	81	0	0	0
861	47	6	2	6
862	62	5	5	1
863	50	0	1	0
864	47	6	2	6
865	18	3	3	5
866	36	3	3	5
867	51	6	2	6
868	53	6	2	6
869	81	0	0	3
870	67	0	0	0
871	49	5	5	1
872	39	0	1	4
873	68	0	1	2
874	54	6	2	6
875	38	3	3	5
876	54	6	2	6
877	49	5	5	1
878	72	0	1	4
879	45	0	1	4
880	48	6	2	6
881	56	5	5	1
882	81	0	0	0
883	56	3	3	5
884	53	6	2	1
885	76	0	1	3
886	81	0	0	0
887	53	6	2	6
888	55	3	1	4
889	50	3	3	5
890	56	3	3	5
891	45	3	1	4
892	56	3	3	5
893	57	4	0	1
894	72	3	4	2
895	52	6	2	1
896	50	6	2	6
897	81	0	0	0
898	47	6	2	6
899	50	6	2	6
900	54	6	2	6
901	46	3	1	4
902	45	3	1	4
903	70	0	0	0
904	20	3	3	2
905	52	3	3	5
906	67	0	6	3
907	50	6	2	6
908	47	6	2	6
909	81	0	0	0
910	39	3	3	5
911	38	3	3	5
912	47	3	4	4
913	50	6	2	6
914	49	0	1	4
915	57	0	1	0
916	56	6	2	6
917	53	0	1	4
918	81	0	0	0
919	53	6	2	6
920	42	3	3	5
921	56	3	3	5
922	42	3	3	5
923	49	6	2	1
924	58	0	0	0
925	48	3	1	4
926	81	0	0	0
927	47	6	2	6
928	47	6	2	6
929	62	3	4	2
930	45	0	1	0
931	48	5	5	1
932	41	3	4	2
933	52	3	4	2
934	81	0	0	0
935	50	6	2	6
936	73	4	0	0
937	58	4	2	1
938	47	3	3	5
939	47	6	2	6
940	56	3	3	5
941	38	3	3	5
942	72	4	0	1
943	56	6	2	6
944	62	3	4	2
945	47	6	2	6
946	49	0	1	2
947	53	3	4	2
948	39	3	1	4
949	50	3	3	5
950	49	5	5	1
951	51	6	2	6
952	49	6	2	6
953	54	3	3	5
954	49	6	2	6
955	32	3	1	4
956	67	3	4	2
957	42	0	1	0
958	56	3	3	5
959	47	3	3	5
960	81	0	1	0
961	58	3	1	4
962	39	3	3	5
963	47	6	2	6
964	63	3	4	2
965	63	3	4	2
966	51	3	4	2
967	72	5	5	1
968	57	3	4	2
969	51	5	5	1
970	50	3	3	5
971	57	4	0	1
972	64	3	1	4
973	63	3	1	5
974	72	0	0	0
975	44	3	3	5
976	81	0	6	3
977	67	3	4	2
978	50	6	2	1
979	69	5	5	1
980	39	3	3	5
981	45	3	3	5
982	55	6	2	1
983	56	6	2	6
984	50	6	2	6
985	53	6	2	6
986	62	3	3	2
987	47	3	3	5
988	16	3	1	4
989	60	0	0	0
990	81	0	0	0
991	32	3	3	5
992	56	3	1	4
993	48	3	1	4
994	41	3	4	2
